阅读,评论,标题,作者,最后更新
13112,152,1年大涨近7倍 “航运茅”强势归来！这家龙头券商高呼,中远海控资讯,06-13 23:20
28912,1197,评论区留言太多了，爬楼爬的虚脱，我要再次响应一位老,中远海控钉子户,06-13 23:25
19985,489,外面下起大雨了，待在酒店里，探讨一个近在眼前的问题,中远海控钉子户,06-13 23:20
10.4万,3053,大家早安！1）海控昨天放量85亿实现平台突破，具有标,中远海控钉子户,06-13 22:34
19653,86,原创：市场对中远海控需要重新定位,杨令公,06-13 22:04
10187,120,高位放量十字星主力出逃，数据统计新鲜出炉，一共参考,天助我华,06-13 21:43
9007,140,中远海控， 6月走势预测分析（周评）,N先森看票,06-13 23:25
103,2,我很想问，韩军说的涨到38是六月份底涨到，还是6个月,短线王者农药,06-13 23:23
180,2,量升价升！持股待涨。此k线收盘叫右肩十字星！也叫空,火热量恋龙头,06-13 23:21
100,1,牛问：八十万股喝涨七倍000799还是喝一季业绩增15倍伊,寻找诗的远方,06-13 23:21
1433,4,海控连着涨了6天了.估计很多人都觉得该调整一下了，所,安安子的牛气冲天,06-13 23:20
3787,10,很多技术派谈到了海控的缺口，我也说说我的想法，当价,中远海控小迷妹,06-13 23:20
970,7,这样吧，既然这么多人爱跟我抬杠，那我就发布一个抬杠,我要我喜欢,06-13 23:15
23951,5,讲点有意思的,布衣书生走天下,06-13 23:15
186,1,高位放量十字星。危险的气息,cooljimmy,06-13 23:15
1183,6,为什么买在分歧，卖在一致。当有分歧的时候，主力很少,股友6t88H95585,06-13 23:12
1226,8,中远海控作为难得的投资标的 - 劲爆大A股市,沪E多多,06-13 23:10
25079,872,我目前把大部分精力放在海控上，一部分时间放在其它公,中远海控钉子户,06-13 23:09
1686,3,谈谈用外资（北向资金）的角度比较中远海控1⃣查了一,股友678909fn89,06-13 23:09
41309,590,东方海外国际小股东清仓减持，股价大跌15%，情绪影响,中远海控钉子户,06-13 23:06
554,0,个人亲历，千真万确,股友61Zk929797,06-13 23:05
1531,1,中远海控：航运集装箱运价指数再创新高，2021.6.11报2,股市经纬线,06-13 23:01
3431,23,我是股票上涨终结者，我买那支票，那支票就开始下跌，,世界反香菜联盟,06-13 23:00
340,6,北斗祝大家端午安康,北斗量海0,06-13 22:58
404,2,@我要我喜欢 ：哈哈……你是神仙，搞短期的技术盘、技,股友19z70838m7,06-13 22:55
2198,17,回答跟我买了海控的朋友们热点疑问！（刚漏了发雪球的,储哥哥,06-13 22:55
8586,48,终于有人把入场形态讲透了，k线组合千千万，入场离场,财神小师妹,06-13 22:54
1071,10,我17.7高位进场的！进场就吃大面！而且还重仓！16梭哈,光棍汉1,06-13 22:52
750,10,周二开盘肯定往下砸的拭目以待绿三个[滴汗],勿问归期,06-13 22:52
240,1,谢谢海控让赚了这么多！不，是海王了！！,何时才能悟道,06-13 22:50
269,2,明早涨停，因为已经重仓介入了,股市12345678WEN,06-13 22:49
1962,18,这么多集装箱，中远的怎么这么少,股友37192q8D93,06-13 22:46
170,0,这个是走得太猛了！别看睡吧,全仓生活费,06-13 22:46
1586,0,基于周二五日均线在24.50，周三五日均线上升到25.5附,多看少动_888,06-13 22:43
1617,8,已出新消息！明天必跌，,梦琪胖达荣荣,06-13 22:39
584,6,高位十字星，下跌信号？,兰太太,06-13 22:39
508,5,中远海控短期来看还值得上车吗？会不会被套老板们你们,蟑螂恶霸的哥哥,06-13 22:39
330,2,我看到海空下个月起码上50，现在货运都排不上[偷笑][,雨后有彩虹888,06-13 22:37
209,0,不到55不下车，越跌越买。,股市12345678WEN,06-13 22:37
520,2,#中远海控#今天提价后每船一个来回（双头货）#中远海,大唐雨音968,06-13 22:36
6089,107,首先，今天说点正事，周五海控挂阳星，后市怎么走，不,我要我喜欢,06-13 22:33
1015,5,端午假期汇报：突发！山西省非煤地下矿山一律停产黑色,mfghjyfddd,06-13 22:33
531,3,明天一个涨停一定的,吉祥满腹的段智兴,06-13 22:33
2929,36,中远海控我还是比较了解的，20元以下就是稳赚，25以下,中远系老大,06-13 22:29
2961,51,我做股票谨小慎微，每走一步，都要夯实基础，主力也一,我要我喜欢,06-13 22:28
494,0,请大家关心一下美元加息问题对大盘的影响而殃及池鱼，,股友31772QG308,06-13 22:27
402,5,这股完蛋了。9成的人都看涨，都指望赚钱，那谁赔钱啊,潇潇潇潇,06-13 22:24
6357,7,净利润增长52倍的海运龙头，本周大涨30%，未来还能涨,财报翻译官,06-13 22:22
3345,41,CCFI+2.9%SCFI+2.51%[上涨][上涨][上涨][上涨],海盗中远,06-13 22:19
529,4,19块钱以下，等待抄底,潍柴铁粉,06-13 22:17
561,5,周二该杀一波下来了8个点左右不跌停就好加仓,股友91M929O168,06-13 22:16
348,1,@我要我喜欢 ：哈哈……你是神仙，搞短期的技术盘、技,股友19z70838m7,06-13 22:15
1139,2,公道的说本票低位应该是5左右。而不是3块。因为3块真,光棍汉1,06-13 22:09
16120,74,大圣临近封贴之回顾：涨不停，又涨停；图一图2一字之,精灵大圣520888,06-13 22:09
6296,37,这个高位十字星非常的经典，非常的漂亮，而且还放量了,天助我华,06-13 22:08
1757,4,各位，有海控股票的(目前)都会发大财了，因为讲五年前,股友6775o8f960,06-13 21:51
37481,35,今晚讲点干货,布衣书生走天下,06-13 21:49
264,0,涨停一字板,慕寒东,06-13 21:48
193,0,无论风雨与你同行一路向上↑,股友0215WU1930,06-13 21:47
458,2,到2点半了，港股还是缩量不涨，明显是有问题了，先卖,股友3ENjLn,06-13 21:43
704,7,我觉得周二会下跌3个点佐佑，我也不知道自己感觉对不,股友3875U603i0,06-13 21:39
940,5,建议主力参考一下比亚迪的走势，虽然比亚迪一年才赚两,江以南st,06-13 21:39
365,3,见顶的信号,猴哥捉妖股,06-13 21:37
405,2,明天高开,wo黎明前de_潜伏者,06-13 21:35
